Group,WoP,nEagle,nNonAlarm,nUnknown,Obs_Hrs,rEagle,rNonAlarm,rUnknown,nIGEs,rIGEs
R1,51,2,13,0,71,0.34,2.20,0.00,0,0.00
R1,52,0,0,0,99,0.00,0.00,0.00,0,0.00
R1,63,0,0,0,126.5,0.00,0.00,0.00,0,0.00
R1,64,2,4,0,96,0.25,0.50,0.00,1,0.13
R1,65,4,0,0,92,0.52,0.00,0.00,0,0.00
R1,66,0,3,0,90,0.00,0.40,0.00,2,0.27
R1,67,0,0,0,71,0.00,0.00,0.00,0,0.00
R2,43,6,2,0,98.5,0.73,0.24,0.00,0,0.00
R2,44,4,31,0,128.5,0.37,2.89,0.00,9,0.84
R2,45,3,19,0,81,0.44,2.81,0.00,2,0.30
R2,46,2,28,0,152.5,0.16,2.20,0.00,7,0.55
R2,47,0,34,0,158,0.00,2.58,0.00,2,0.15
R2,48,2,25,0,138.5,0.17,2.17,0.00,2,0.17
R2,50,7,20,0,155.5,0.54,1.54,0.00,2,0.15
R2,51,10,27,0,165,0.73,1.96,0.00,2,0.15
R2,52,6,9,1,71.5,1.01,1.51,0.17,0,0.00
R2,53,14,17,0,154,1.09,1.32,0.00,0,0.00
R2,63,0,13,0,155.5,0.00,1.00,0.00,0,0.00
R2,64,0,12,0,97,0.00,1.48,0.00,1,0.12
R2,65,3,15,0,97.5,0.37,1.85,0.00,0,0.00
R2,66,2,21,0,95.5,0.25,2.64,0.00,1,0.13
R2,67,1,18,0,75,0.16,2.88,0.00,1,0.16
R2,68,2,26,0,118.5,0.20,2.63,0.00,0,0.00
R2,69,1,34,0,137.5,0.09,2.97,0.00,4,0.35
R2,70,3,34,0,135,0.27,3.02,0.00,1,0.09
R2,71,0,16,0,57.5,0.00,3.34,0.00,0,0.00
R3,43,3,15,0,99.5,0.36,1.81,0.00,0,0.00
R3,44,5,26,0,143.5,0.42,2.17,0.00,7,0.59
R3,45,5,15,0,79,0.76,2.28,0.00,0,0.00
R3,46,10,30,0,164,0.73,2.20,0.00,2,0.15
R3,47,4,31,0,162,0.30,2.30,0.00,2,0.15
R3,48,5,12,0,75.5,0.79,1.91,0.00,0,0.00
R3,68,13,9,2,142.5,1.09,0.76,0.17,0,0.00
R3,69,13,9,0,144.5,1.08,0.75,0.00,2,0.17
R3,70,10,9,0,134,0.90,0.81,0.00,0,0.00
R3,71,7,5,0,65.5,1.28,0.92,0.00,0,0.00
R4,50,4,8,0,118,0.41,0.81,0.00,0,0.00
R4,51,13,15,0,153.5,1.02,1.17,0.00,1,0.08
R4,52,4,5,0,67,0.72,0.90,0.00,0,0.00
R4,53,7,8,0,147,0.57,0.65,0.00,0,0.00
R4,63,13,5,0,126,1.24,0.48,0.00,0,0.00
R4,64,10,8,0,102,1.18,0.94,0.00,1,0.12
R4,65,6,7,0,95,0.76,0.88,0.00,0,0.00
R4,66,8,7,0,97.5,0.98,0.86,0.00,2,0.25
R4,67,8,8,0,97,0.99,0.99,0.00,0,0.00
R5,28,0,1,0,20,0.00,0.60,0.00,0,0.00
R5,29,3,6,0,192,0.19,0.38,0.00,4,0.25
R5,30,1,11,0,101,0.12,1.31,0.00,5,0.59
R5,32,7,7,0,57.5,1.46,1.46,0.00,0,0.00
R5,34,6,12,0,78,0.92,1.85,0.00,3,0.46
R5,36,2,14,0,70,0.34,2.40,0.00,0,0.00
R5,38,1,2,0,57,0.21,0.42,0.00,0,0.00
R5,57,12,37,0,158,0.91,2.81,0.00,2,0.15
R5,58,16,78,0,160,1.20,5.85,0.00,2,0.15
R5,59,4,75,0,157.5,0.30,5.71,0.00,1,0.08
R5,60,4,44,1,136.5,0.35,3.87,0.09,0,0.00
R5,61,2,29,0,98,0.24,3.55,0.00,1,0.12
R5,62,6,30,0,148.5,0.48,2.42,0.00,2,0.16
R5,62.25,0,10,0,41.5,0.00,2.89,0.00,0,0.00
R5,71,0,16,0,65,0.00,2.95,0.00,1,0.18
R5,72,0,32,0,115,0.00,3.34,0.00,1,0.10
R5,73,0,26,0,123,0.00,2.54,0.00,2,0.20
R6,29,1,6,0,134.5,0.09,0.54,0.00,2,0.18
R6,30,1,1,0,64,0.19,0.19,0.00,4,0.75
R6,31,6,4,0,75,0.96,0.64,0.00,0,0.00
R6,33,1,15,0,58.5,0.21,3.08,0.00,1,0.21
R6,35,3,20,0,73.5,0.49,3.27,0.00,0,0.00
R6,37,2,13,0,62,0.39,2.52,0.00,0,0.00
R6,39,7,6,0,69,1.22,1.04,0.00,0,0.00
R6,56,6,11,0,133,0.54,0.99,0.00,0,0.00
R6,57,4,11,0,69.5,0.69,1.90,0.00,4,0.69
R6,58,7,4,0,68.5,1.23,0.70,0.00,1,0.18
R6,59,14,8,0,147,1.14,0.65,0.00,1,0.08
R6,60,10,12,0,124.5,0.96,1.16,0.00,0,0.00
R6,61,9,11,0,95.5,1.13,1.38,0.00,0,0.00
R6,71,3,4,0,60.5,0.60,0.79,0.00,0,0.00
R6,72,12,13,0,132.5,1.09,1.18,0.00,1,0.09
R6,73,13,14,0,137,1.14,1.23,0.00,1,0.09