Group,Date,Week,Week of Project,PSA_MY_N,PSA_BL_N,PSA_CH_N,nScans,PSA_MY_perc,PSA_BL_perc,PSA_CH_perc
R1,02/06/2013,0.3,51,5,0,0,19,26,0,0
R1,02/07/2013,0.3,51,0,0,0,21,0,0,0
R1,02/08/2013,0.3,51,0,0,0,23,0,0,0
R1,02/09/2013,0.3,51,6,0,0,21,29,0,0
R1,02/10/2013,0.3,51,0,0,0,20,0,0,0
R1,02/11/2013,0.3,51,0,0,0,22,0,0,0
R1,02/12/2013,0.3,51,0,0,0,23,0,0,0
R1,03/06/2013,0.5,52,0,0,0,23,0,0,0
R1,03/07/2013,0.5,52,0,0,0,20,0,0,0
R1,03/08/2013,0.5,52,0,0,0,23,0,0,0
R1,03/09/2013,0.5,52,0,0,0,16,0,0,0
R1,03/10/2013,0.5,52,0,0,0,4,0,0,0
R1,03/11/2013,0.5,52,0,0,0,19,0,0,0
R1,03/12/2013,0.5,52,0,0,0,18,0,0,0
R1,03/12/2014,1,63,0,0,0,3,0,0,0
R1,03/13/2014,1,63,0,0,0,23,0,0,0
R1,03/14/2014,1,63,0,1,0,21,0,5,0
R1,03/15/2014,1,63,0,0,0,23,0,0,0
R1,03/16/2014,1,63,0,0,0,14,0,0,0
R1,03/17/2014,1,63,0,0,0,20,0,0,0
R1,03/18/2014,1,63,0,0,0,21,0,0,0
R1,03/19/2014,2,63,0,0,0,23,0,0,0
R1,03/20/2014,2,63,0,0,0,19,0,0,0
R1,03/21/2014,2,63,0,0,0,23,0,0,0
R1,03/22/2014,2,63,0,0,0,24,0,0,0
R1,03/23/2014,2,63,0,0,0,17,0,0,0
R1,03/24/2014,2,63,0,0,0,19,0,0,0
R1,03/25/2014,2,63,0,0,0,17,0,0,0
R1,04/07/2014,3,64,0,0,0,8,0,0,0
R1,04/08/2014,3,64,0,0,0,21,0,0,0
R1,04/09/2014,3,64,0,0,0,23,0,0,0
R1,04/10/2014,3,64,0,0,0,23,0,0,0
R1,04/11/2014,3,64,0,0,0,21,0,0,0
R1,04/12/2014,3,64,0,0,0,20,0,0,0
R1,04/13/2014,3,64,0,0,0,21,0,0,0
R1,04/14/2014,3,64,0,0,0,23,0,0,0
R1,04/15/2014,3,64,0,0,0,23,0,0,0
R1,04/16/2014,3,64,0,0,0,19,0,0,0
R1,05/05/2014,4,65,0,0,0,14,0,0,0
R1,05/06/2014,4,65,0,0,0,21,0,0,0
R1,05/07/2014,4,65,0,0,0,23,0,0,0
R1,05/08/2014,4,65,0,0,0,23,0,0,0
R1,05/09/2014,4,65,0,0,0,6,0,0,0
R1,05/10/2014,4,65,0,0,0,23,0,0,0
R1,05/11/2014,4,65,0,0,0,24,0,0,0
R1,05/12/2014,4,65,0,0,0,20,0,0,0
R1,05/13/2014,4,65,0,0,0,21,0,0,0
R1,05/14/2014,4,65,0,0,0,19,0,0,0
R1,06/11/2014,5,66,0,0,0,10,0,0,0
R1,06/12/2014,5,66,4,0,0,23,17,0,0
R1,06/13/2014,5,66,0,0,0,22,0,0,0
R1,06/14/2014,5,66,0,0,0,21,0,0,0
R1,06/15/2014,5,66,0,0,0,22,0,0,0
R1,06/16/2014,5,66,0,0,0,21,0,0,0
R1,06/17/2014,5,66,0,0,0,8,0,0,0
R1,06/18/2014,5,66,0,0,0,23,0,0,0
R1,06/19/2014,5,66,0,0,0,21,0,0,0
R1,06/20/2014,5,66,0,0,0,19,0,0,0
R1,07/09/2014,6,67,0,0,0,4,0,0,0
R1,07/10/2014,6,67,0,0,0,20,0,0,0
R1,07/11/2014,6,67,0,0,0,22,0,0,0
R1,07/12/2014,6,67,0,0,0,20,0,0,0
R1,07/13/2014,6,67,0,0,0,7,0,0,0
R1,07/14/2014,6,67,0,0,0,23,0,0,0
R1,07/15/2014,6,67,0,0,0,11,0,0,0
R1,07/16/2014,6,67,0,0,0,18,0,0,0
R1,07/17/2014,6,67,0,0,0,19,0,0,0
R1,07/18/2014,6,67,0,0,0,8,0,0,0
R2,08/22/2012,1,43,0,,,9,0,,
R2,08/23/2012,1,43,13,0,0,21,62,0,0
R2,08/24/2012,1,43,21,0,0,25,84,0,0
R2,08/25/2012,1,43,20,0,0,24,83,0,0
R2,08/26/2012,1,43,19,0,0,23,83,0,0
R2,08/27/2012,1,43,0,0,0,24,0,0,0
R2,08/28/2012,1,43,0,0,0,17,0,0,0
R2,08/29/2012,1,43,15,0,0,23,65,0,0
R2,08/30/2012,1,43,9,0,0,23,39,0,0
R2,08/31/2012,1,43,14,0,0,18,78,0,0
R2,09/12/2012,2,44,0,0,0,7,0,0,0
R2,09/13/2012,2,44,4,0,0,24,17,0,0
R2,09/14/2012,2,44,16,1,0,24,67,4,0
R2,09/15/2012,2,44,2,0,0,6,33,0,0
R2,09/16/2012,2,44,15,4,0,24,63,17,0
R2,09/17/2012,2,44,17,0,0,24,71,0,0
R2,09/18/2012,2,44,15,0,0,24,63,0,0
R2,09/19/2012,3,44,7,5,0,24,29,21,0
R2,09/20/2012,3,44,20,6,0,24,83,25,0
R2,09/21/2012,3,44,20,19,0,24,83,79,0
R2,09/22/2012,3,44,21,10,0,24,88,42,0
R2,09/23/2012,3,44,8,8,0,17,47,47,0
R2,09/24/2012,3,44,12,11,0,24,50,46,0
R2,10/03/2012,4,45,14,5,0,22,64,23,0
R2,10/04/2012,4,45,5,0,2,24,21,0,8
R2,10/05/2012,4,45,20,0,1,26,77,0,4
R2,10/06/2012,4,45,5,0,0,25,20,0,0
R2,10/07/2012,4,45,7,0,0,25,28,0,0
R2,10/08/2012,4,45,15,7,0,25,60,28,0
R2,10/09/2012,4,45,9,0,0,22,41,0,0
R2,10/24/2012,5,46,11,0,0,23,48,0,0
R2,10/25/2012,5,46,0,0,0,12,0,0,0
R2,10/26/2012,5,46,4,2,0,25,16,8,0
R2,10/27/2012,5,46,19,6,0,25,76,24,0
R2,10/28/2012,5,46,4,0,0,25,16,0,0
R2,10/29/2012,5,46,9,1,0,25,36,4,0
R2,10/30/2012,5,46,19,0,0,25,76,0,0
R2,10/31/2012,6,46,17,0,0,25,68,0,0
R2,11/01/2012,6,46,2,0,0,25,8,0,0
R2,11/02/2012,6,46,9,0,0,13,69,0,0
R2,11/03/2012,6,46,6,0,0,25,24,0,0
R2,11/04/2012,6,46,9,0,0,11,82,0,0
R2,11/05/2012,6,46,5,0,0,25,20,0,0
R2,11/06/2012,6,46,1,0,0,22,5,0,0
R2,11/14/2012,7,47,8,0,0,13,62,0,0
R2,11/15/2012,7,47,17,0,0,25,68,0,0
R2,11/16/2012,7,47,4,0,0,25,16,0,0
R2,11/17/2012,7,47,22,11,0,25,88,44,0
R2,11/18/2012,7,47,4,0,0,21,19,0,0
R2,11/19/2012,7,47,13,1,0,25,52,4,0
R2,11/20/2012,7,47,11,0,0,24,46,0,0
R2,11/21/2012,8,47,15,0,1,25,60,0,4
R2,11/22/2012,8,47,6,0,0,25,24,0,0
R2,11/23/2012,8,47,15,0,0,25,60,0,0
R2,11/24/2012,8,47,5,3,0,25,20,12,0
R2,11/25/2012,8,47,0,0,0,25,0,0,0
R2,11/26/2012,8,47,0,0,0,24,0,0,0
R2,11/27/2012,8,47,15,0,0,21,71,0,0
R2,12/05/2012,9,48,0,0,0,11,0,0,0
R2,12/06/2012,9,48,16,2,0,25,64,8,0
R2,12/07/2012,9,48,15,0,0,25,60,0,0
R2,12/08/2012,9,48,14,0,0,25,56,0,0
R2,12/09/2012,9,48,4,0,0,24,17,0,0
R2,12/10/2012,9,48,18,0,0,25,72,0,0
R2,12/11/2012,9,48,15,0,0,25,60,0,0
R2,12/12/2012,10,48,15,0,0,25,60,0,0
R2,12/13/2012,10,48,13,0,0,25,52,0,0
R2,12/14/2012,10,48,13,0,0,25,52,0,0
R2,12/15/2012,10,48,1,0,0,12,8,0,0
R2,12/16/2012,10,48,0,0,0,14,0,0,0
R2,12/17/2012,10,48,0,0,0,25,0,0,0
R2,12/18/2012,10,48,0,0,0,5,0,0,0
R2,01/17/2013,11,50,15,0,0,17,88,0,0
R2,01/18/2013,11,50,10,0,0,26,38,0,0
R2,01/19/2013,11,50,12,0,0,26,46,0,0
R2,01/20/2013,11,50,10,0,0,25,40,0,0
R2,01/21/2013,11,50,11,0,0,26,42,0,0
R2,01/22/2013,11,50,2,0,0,26,8,0,0
R2,01/23/2013,12,50,12,0,0,26,46,0,0
R2,01/24/2013,12,50,0,0,0,26,0,0,0
R2,01/25/2013,12,50,16,0,0,26,62,0,0
R2,01/26/2013,12,50,0,0,0,26,0,0,0
R2,01/27/2013,12,50,12,0,0,22,55,0,0
R2,01/28/2013,12,50,18,0,0,23,78,0,0
R2,01/29/2013,12,50,0,0,0,22,0,0,0
R2,02/06/2013,13,51,0,0,0,9,0,0,0
R2,02/07/2013,13,51,10,0,1,26,38,0,4
R2,02/08/2013,13,51,23,0,0,26,88,0,0
R2,02/09/2013,13,51,20,0,0,26,77,0,0
R2,02/10/2013,13,51,3,0,0,26,12,0,0
R2,02/11/2013,13,51,14,0,1,26,54,0,4
R2,02/12/2013,13,51,7,0,0,26,27,0,0
R2,02/13/2013,14,51,7,0,0,26,27,0,0
R2,02/14/2013,14,51,12,0,0,26,46,0,0
R2,02/15/2013,14,51,3,0,0,26,12,0,0
R2,02/16/2013,14,51,5,0,0,26,19,0,0
R2,02/17/2013,14,51,15,0,2,26,58,0,8
R2,02/18/2013,14,51,6,0,0,26,23,0,0
R2,02/19/2013,14,51,8,0,0,23,35,0,0
R2,03/06/2013,15,52,1,0,0,5,20,0,0
R2,03/07/2013,15,52,11,0,0,25,44,0,0
R2,03/08/2013,15,52,7,0,0,25,28,0,0
R2,03/09/2013,15,52,10,0,0,24,42,0,0
R2,03/10/2013,15,52,13,0,0,24,54,0,0
R2,03/11/2013,15,52,0,0,0,25,0,0,0
R2,03/12/2013,15,52,9,0,0,22,41,0,0
R2,03/20/2013,16,53,0,0,0,6,0,0,0
R2,03/21/2013,16,53,11,0,0,25,44,0,0
R2,03/22/2013,16,53,22,2,5,26,85,8,19
R2,03/23/2013,16,53,11,2,0,26,42,8,0
R2,03/24/2013,16,53,12,0,1,19,63,0,5
R2,03/25/2013,16,53,21,0,5,25,84,0,20
R2,03/26/2013,16,53,14,3,2,25,56,12,8
R2,03/27/2013,17,53,16,0,3,25,64,0,12
R2,03/28/2013,17,53,17,4,0,25,68,16,0
R2,03/29/2013,17,53,18,2,0,25,72,8,0
R2,03/30/2013,17,53,20,6,7,25,80,24,28
R2,03/31/2013,17,53,16,0,1,25,64,0,4
R2,04/01/2013,17,53,18,0,0,24,75,0,0
R2,04/02/2013,17,53,18,1,0,21,86,5,0
R2,03/12/2014,18,63,0,3,0,5,0,60,0
R2,03/13/2014,18,63,0,0,0,25,0,0,0
R2,03/14/2014,18,63,0,0,0,25,0,0,0
R2,03/15/2014,18,63,0,0,0,25,0,0,0
R2,03/16/2014,18,63,0,0,0,24,0,0,0
R2,03/17/2014,18,63,4,0,2,25,16,0,8
R2,03/18/2014,18,63,0,0,0,25,0,0,0
R2,03/19/2014,19,63,0,0,0,25,0,0,0
R2,03/20/2014,19,63,0,0,0,25,0,0,0
R2,03/21/2014,19,63,7,0,0,25,28,0,0
R2,03/22/2014,19,63,0,0,0,25,0,0,0
R2,03/23/2014,19,63,0,0,0,25,0,0,0
R2,03/24/2014,19,63,0,0,0,25,0,0,0
R2,03/25/2014,19,63,1,0,0,21,5,0,0
R2,04/07/2014,20,64,0,0,0,6,0,0,0
R2,04/08/2014,20,64,6,0,0,25,24,0,0
R2,04/09/2014,20,64,0,0,0,25,0,0,0
R2,04/10/2014,20,64,0,0,0,25,0,0,0
R2,04/11/2014,20,64,0,0,0,12,0,0,0
R2,04/12/2014,20,64,6,0,0,25,24,0,0
R2,04/13/2014,20,64,12,0,0,24,50,0,0
R2,04/14/2014,20,64,13,0,0,24,54,0,0
R2,04/15/2014,20,64,9,0,0,26,35,0,0
R2,04/16/2014,20,64,0,0,0,12,0,0,0
R2,05/05/2014,21,65,0,0,0,8,0,0,0
R2,05/06/2014,21,65,0,0,0,24,0,0,0
R2,05/07/2014,21,65,0,0,0,25,0,0,0
R2,05/08/2014,21,65,0,0,0,24,0,0,0
R2,05/09/2014,21,65,6,0,0,7,86,0,0
R2,05/10/2014,21,65,15,0,0,25,60,0,0
R2,05/11/2014,21,65,0,0,0,25,0,0,0
R2,05/12/2014,21,65,21,0,0,24,88,0,0
R2,05/13/2014,21,65,16,0,0,24,67,0,0
R2,05/14/2014,21,65,18,0,0,18,100,0,0
R2,06/11/2014,22,66,0,0,0,8,0,0,0
R2,06/12/2014,22,66,0,0,0,24,0,0,0
R2,06/13/2014,22,66,14,0,0,24,58,0,0
R2,06/14/2014,22,66,0,0,0,18,0,0,0
R2,06/15/2014,22,66,0,0,0,24,0,0,0
R2,06/16/2014,22,66,0,0,0,24,0,0,0
R2,06/17/2014,22,66,0,0,0,25,0,0,0
R2,06/18/2014,22,66,0,0,0,20,0,0,0
R2,06/19/2014,22,66,17,0,0,17,100,0,0
R2,06/20/2014,22,66,0,0,0,17,0,0,0
R2,07/09/2014,23,67,0,0,0,6,0,0,0
R2,07/10/2014,23,67,0,0,0,24,0,0,0
R2,07/11/2014,23,67,1,0,0,22,5,0,0
R2,07/12/2014,23,67,0,0,0,24,0,0,0
R2,07/13/2014,23,67,8,0,0,16,50,0,0
R2,07/14/2014,23,67,20,0,0,23,87,0,0
R2,07/15/2014,23,67,0,0,0,8,0,0,0
R2,07/16/2014,23,67,20,0,0,23,87,0,0
R2,07/17/2014,23,67,0,0,0,13,0,0,0
R2,01/20/2015,24,68,0,0,0,5,0,0,0
R2,01/21/2015,24,68,0,0,0,24,0,0,0
R2,01/22/2015,24,68,13,0,0,24,54,0,0
R2,01/23/2015,24,68,5,0,0,23,22,0,0
R2,01/24/2015,24,68,1,0,0,24,4,0,0
R2,01/25/2015,24,68,0,0,0,19,0,0,0
R2,01/26/2015,25,68,0,0,0,24,0,0,0
R2,01/27/2015,25,68,0,0,0,22,0,0,0
R2,01/28/2015,25,68,0,0,0,21,0,0,0
R2,01/29/2015,25,68,0,0,0,8,0,0,0
R2,01/30/2015,25,68,0,0,0,24,0,0,0
R2,01/31/2015,25,68,0,0,0,11,0,0,0
R2,02/01/2015,25,68,0,0,0,21,0,0,0
R2,02/09/2015,26,69,0,0,0,2,0,0,0
R2,02/10/2015,26,69,0,0,0,24,0,0,0
R2,02/11/2015,26,69,0,0,0,24,0,0,0
R2,02/12/2015,26,69,22,0,0,24,92,0,0
R2,02/13/2015,26,69,0,0,0,22,0,0,0
R2,02/14/2015,26,69,0,0,0,23,0,0,0
R2,02/15/2015,26,69,0,0,0,22,0,0,0
R2,02/16/2015,27,69,0,0,0,22,0,0,0
R2,02/17/2015,27,69,0,1,0,15,0,7,0
R2,02/18/2015,27,69,0,0,0,24,0,0,0
R2,02/19/2015,27,69,0,0,0,22,0,0,0
R2,02/20/2015,27,69,0,0,0,24,0,0,0
R2,02/21/2015,27,69,0,3,2,23,0,13,9
R2,02/22/2015,27,69,0,0,0,17,0,0,0
R2,03/10/2015,28,70,0,0,0,9,0,0,0
R2,03/11/2015,28,70,0,0,0,24,0,0,0
R2,03/12/2015,28,70,0,0,0,21,0,0,0
R2,03/13/2015,28,70,0,0,0,24,0,0,0
R2,03/14/2015,28,70,0,0,0,24,0,0,0
R2,03/15/2015,28,70,0,0,0,19,0,0,0
R2,03/16/2015,29,70,0,0,0,23,0,0,0
R2,03/17/2015,29,70,0,0,0,24,0,0,0
R2,03/18/2015,29,70,0,0,0,24,0,0,0
R2,03/19/2015,29,70,0,0,0,23,0,0,0
R2,03/20/2015,29,70,0,0,0,24,0,0,0
R2,03/21/2015,29,70,0,0,0,23,0,0,0
R2,03/22/2015,29,70,0,0,0,21,0,0,0
R2,04/09/2015,30,71,0,0,0,2,0,0,0
R2,04/10/2015,30,71,0,0,0,22,0,0,0
R2,04/11/2015,30,71,0,0,0,23,0,0,0
R2,04/12/2015,30,71,0,0,0,6,0,0,0
R2,04/13/2015,30,71,0,0,0,24,0,0,0
R2,04/14/2015,30,71,0,0,0,23,0,0,0
R2,04/15/2015,30,71,11,0,0,22,50,0,0
R3,08/23/2012,1,43,0,0,0,21,0,0,0
R3,08/24/2012,1,43,0,0,0,23,0,0,0
R3,08/25/2012,1,43,0,0,0,20,0,0,0
R3,08/26/2012,1,43,0,0,0,23,0,0,0
R3,08/27/2012,1,43,3,0,0,22,14,0,0
R3,08/28/2012,1,43,0,0,0,21,0,0,0
R3,08/29/2012,1,43,0,0,0,22,0,0,0
R3,08/30/2012,1,43,0,0,0,25,0,0,0
R3,08/31/2012,1,43,0,0,0,18,0,0,0
R3,09/12/2012,2,44,0,0,0,6,0,0,0
R3,09/13/2012,2,44,0,0,0,23,0,0,0
R3,09/14/2012,2,44,0,0,0,22,0,0,0
R3,09/15/2012,2,44,0,0,0,19,0,0,0
R3,09/16/2012,2,44,0,0,0,23,0,0,0
R3,09/17/2012,2,44,1,0,0,22,5,0,0
R3,09/18/2012,2,44,0,0,0,24,0,0,0
R3,09/19/2012,3,44,0,0,0,21,0,0,0
R3,09/20/2012,3,44,1,0,0,23,4,0,0
R3,09/21/2012,3,44,1,0,0,23,4,0,0
R3,09/22/2012,3,44,2,0,0,23,9,0,0
R3,09/23/2012,3,44,2,0,0,24,8,0,0
R3,09/24/2012,3,44,1,0,0,24,4,0,0
R3,09/25/2012,3,44,3,0,0,20,15,0,0
R3,10/03/2012,4,45,3,0,0,23,13,0,0
R3,10/04/2012,4,45,0,0,0,24,0,0,0
R3,10/05/2012,4,45,13,0,0,24,54,0,0
R3,10/06/2012,4,45,0,0,0,25,0,0,0
R3,10/07/2012,4,45,0,0,0,24,0,0,0
R3,10/08/2012,4,45,8,0,0,20,40,0,0
R3,10/09/2012,4,45,0,0,0,22,0,0,0
R3,10/24/2012,5,46,4,0,0,22,18,0,0
R3,10/25/2012,5,46,0,0,0,24,0,0,0
R3,10/26/2012,5,46,6,0,1,24,25,0,4
R3,10/27/2012,5,46,8,0,0,25,32,0,0
R3,10/28/2012,5,46,10,0,0,22,45,0,0
R3,10/29/2012,5,46,13,0,0,25,52,0,0
R3,10/30/2012,5,46,19,0,0,25,76,0,0
R3,10/31/2012,6,46,18,0,0,25,72,0,0
R3,11/01/2012,6,46,23,0,0,25,92,0,0
R3,11/02/2012,6,46,11,0,0,24,46,0,0
R3,11/03/2012,6,46,2,0,0,25,8,0,0
R3,11/04/2012,6,46,6,0,0,18,33,0,0
R3,11/05/2012,6,46,0,0,0,23,0,0,0
R3,11/06/2012,6,46,14,0,1,22,64,0,5
R3,11/14/2012,7,47,11,0,0,16,69,0,0
R3,11/15/2012,7,47,23,0,0,25,92,0,0
R3,11/16/2012,7,47,3,0,0,25,12,0,0
R3,11/17/2012,7,47,13,0,0,24,54,0,0
R3,11/18/2012,7,47,15,0,0,24,63,0,0
R3,11/19/2012,7,47,7,0,0,25,28,0,0
R3,11/20/2012,7,47,15,0,0,24,63,0,0
R3,11/21/2012,8,47,10,0,0,25,40,0,0
R3,11/22/2012,8,47,11,0,0,25,44,0,0
R3,11/23/2012,8,47,15,0,0,25,60,0,0
R3,11/24/2012,8,47,5,0,0,25,20,0,0
R3,11/25/2012,8,47,5,0,0,25,20,0,0
R3,11/26/2012,8,47,0,0,0,24,0,0,0
R3,11/27/2012,8,47,9,0,0,21,43,0,0
R3,12/05/2012,9,48,0,0,0,12,0,0,0
R3,12/06/2012,9,48,6,0,0,24,25,0,0
R3,12/07/2012,9,48,10,0,0,24,42,0,0
R3,12/08/2012,9,48,16,0,0,25,64,0,0
R3,12/09/2012,9,48,3,0,0,25,12,0,0
R3,12/10/2012,9,48,11,0,0,25,44,0,0
R3,12/11/2012,9,48,4,0,0,22,18,0,0
R3,01/19/2015,10,68,0,0,0,5,0,0,0
R3,01/20/2015,10,68,0,0,0,24,0,0,0
R3,01/21/2015,10,68,0,0,0,23,0,0,0
R3,01/22/2015,10,68,13,0,0,24,54,0,0
R3,01/23/2015,10,68,0,0,0,23,0,0,0
R3,01/24/2015,10,68,0,0,0,24,0,0,0
R3,01/25/2015,10,68,0,0,0,22,0,0,0
R3,01/26/2015,11,68,0,0,0,24,0,0,0
R3,01/27/2015,11,68,0,0,0,24,0,0,0
R3,01/28/2015,11,68,16,0,0,23,70,0,0
R3,01/29/2015,11,68,0,0,0,16,0,0,0
R3,01/30/2015,11,68,0,0,0,22,0,0,0
R3,01/31/2015,11,68,7,0,0,25,28,0,0
R3,02/01/2015,11,68,16,0,0,20,80,0,0
R3,02/09/2015,12,69,0,0,0,7,0,0,0
R3,02/10/2015,12,69,10,0,0,24,42,0,0
R3,02/11/2015,12,69,0,0,0,23,0,0,0
R3,02/12/2015,12,69,0,0,0,24,0,0,0
R3,02/13/2015,12,69,14,8,0,24,58,33,0
R3,02/14/2015,12,69,12,0,0,21,57,0,0
R3,02/15/2015,12,69,0,0,0,24,0,0,0
R3,02/16/2015,13,69,0,0,0,25,0,0,0
R3,02/17/2015,13,69,0,0,0,24,0,0,0
R3,02/18/2015,13,69,0,0,0,18,0,0,0
R3,02/19/2015,13,69,15,0,2,24,63,0,8
R3,02/20/2015,13,69,0,0,0,19,0,0,0
R3,02/21/2015,13,69,0,3,2,20,0,15,10
R3,02/22/2015,13,69,17,0,0,20,85,0,0
R3,03/09/2015,14,70,0,0,0,6,0,0,0
R3,03/10/2015,14,70,10,0,0,24,42,0,0
R3,03/11/2015,14,70,0,0,0,23,0,0,0
R3,03/12/2015,14,70,6,0,0,23,26,0,0
R3,03/13/2015,14,70,8,0,0,24,33,0,0
R3,03/14/2015,14,70,0,0,0,24,0,0,0
R3,03/15/2015,14,70,5,0,0,19,26,0,0
R3,03/16/2015,15,70,9,0,0,17,53,0,0
R3,03/17/2015,15,70,0,0,0,21,0,0,0
R3,03/18/2015,15,70,0,0,0,19,0,0,0
R3,03/19/2015,15,70,0,0,0,19,0,0,0
R3,03/20/2015,15,70,0,0,0,20,0,0,0
R3,03/21/2015,15,70,6,0,0,23,26,0,0
R3,03/22/2015,15,70,0,0,0,17,0,0,0
R3,04/09/2015,16,71,0,0,0,8,0,0,0
