Group,WP,Scans,fMY,fBL,fCH,hMY,hBL,hCH
R1,50,149,11,0,0,7.38,0.00,0.00
R1,51,88,0,0,0,0.00,0.00,0.00
R1,52,123,0,0,0,0.00,0.00,0.00
R1,63,267,0,1,0,0.00,0.37,0.00
R1,64,202,0,0,0,0.00,0.00,0.00
R1,65,194,0,0,0,0.00,0.00,0.00
R1,66,190,4,0,0,2.11,0.00,0.00
R1,67,152,0,0,0,0.00,0.00,0.00
R2,43,207,111,0,0,53.62,0.00,0.00
R2,44,271,157,64,0,57.93,23.62,0.00
R2,45,169,75,12,3,44.38,7.10,1.78
R2,46,306,115,9,0,37.58,2.94,0.00
R2,47,328,135,15,1,41.16,4.57,0.30
R2,48,291,124,3,0,42.61,1.03,0.00
R2,50,317,118,0,0,37.22,0.00,0.00
R2,51,344,133,0,5,38.66,0.00,1.45
R2,52,150,51,0,0,34.00,0.00,0.00
R2,53,322,214,20,24,66.46,6.21,7.45
R2,63,325,12,3,2,3.69,0.92,0.62
R2,64,203,46,0,0,22.66,0.00,0.00
R2,65,204,76,0,0,37.25,0.00,0.00
R2,66,201,31,0,0,15.42,0.00,0.00
R2,67,159,49,0,0,30.82,0.00,0.00
R2,68,250,19,0,0,7.60,0.00,0.00
R2,69,288,22,4,2,7.64,1.39,0.69
R2,70,283,0,0,0,0.00,0.00,0.00
R2,71,122,11,0,0,9.02,0.00,0.00
R3,43,209,3,0,0,1.44,0.00,0.00
R3,44,297,11,0,0,3.70,0.00,0.00
R3,45,162,24,0,0,14.81,0.00,0.00
R3,46,329,134,0,2,40.73,0.00,0.61
R3,47,333,142,0,0,42.64,0.00,0.00
R3,48,157,50,0,0,31.85,0.00,0.00
R3,68,299,52,0,0,17.39,0.00,0.00
R3,69,297,68,11,4,22.90,3.70,1.35
R3,70,279,44,0,0,15.77,0.00,0.00
R3,71,138,44,0,0,31.88,0.00,0.00
R4,50,130,8,0,0,6.15,0.00,0.00
R4,51,319,22,0,0,6.90,0.00,0.00
R4,52,139,19,0,0,13.67,0.00,0.00
R4,53,308,20,0,0,6.49,0.00,0.00
R4,63,265,0,0,1,0.00,0.00,0.38
R4,64,205,32,0,0,15.61,0.00,0.00
R4,65,190,40,0,0,21.05,0.00,0.00
R4,66,205,10,0,0,4.88,0.00,0.00
R4,67,204,9,0,0,4.41,0.00,0.00
R5,30,112,50,1,0,44.64,0.89,0.00
R5,32,123,12,0,0,9.76,0.00,0.00
R5,34,157,76,0,9,48.41,0.00,5.73
R5,36,148,65,0,10,43.92,0.00,6.76
R5,38,122,0,0,0,0.00,0.00,0.00
R5,57,330,242,0,16,73.33,0.00,4.85
R5,58,334,279,0,43,83.53,0.00,12.87
R5,59,329,263,0,27,79.94,0.00,8.21
R5,60,287,205,0,9,71.43,0.00,3.14
R5,61,207,120,0,0,57.97,0.00,0.00
R5,62,311,133,5,1,42.77,1.61,0.32
R5,62.25,87,25,1,0,28.74,1.15,0.00
R5,71,137,36,5,0,26.28,3.65,0.00
R5,72,244,48,0,0,19.67,0.00,0.00
R5,73,260,6,0,0,2.31,0.00,0.00
R6,31,158,58,0,9,36.71,0.00,5.70
R6,33,125,65,0,7,52.00,0.00,5.60
R6,35,151,42,1,31,27.81,0.66,20.53
R6,37,131,30,22,0,22.90,16.79,0.00
R6,39,146,22,10,0,15.07,6.85,0.00
R6,56,280,66,0,0,23.57,0.00,0.00
R6,57,147,34,17,1,23.13,11.56,0.68
R6,58,144,42,0,0,29.17,0.00,0.00
R6,59,302,81,43,2,26.82,14.24,0.66
R6,60,262,46,83,3,17.56,31.68,1.15
R6,61,202,101,32,1,50.00,15.84,0.50
R6,71,119,31,32,1,26.05,26.89,0.84
R6,72,270,134,45,2,49.63,16.67,0.74
R6,73,274,82,39,2,29.93,14.23,0.73