"","species","group","name","class","cort_dw","wo_p","date","cort_numeric","psa_my_perc","psa_bl_perc","psa_ch_perc","r_eagle","r_ig_es","repro_narrow","repro_broad","mean_uc_psg"
"1","RT","R1","Antelope","SF","698 ",63,"03/24/2014",698,0,0,0,0,0,,,0.88
"2","RT","R1","Antelope","SF","903 ",63,"03/25/2014",903,0,0,0,0,0,,,0.88
"3","RT","R1","Antelope","SF","57 ",65,"05/10/2014",57,0,0,0,0.52,0,,,
"4","RT","R1","Antelope","SF","169 ",65,"05/13/2014",169,0,0,0,0.52,0,,,
"5","RT","R1","Antelope","SF","187 ",66,"06/16/2014",187,0,0,0,0,0.27,,,0.99
"6","RT","R1","Antelope","SF","158 ",66,"06/18/2014",158,0,0,0,0,0.27,,,0.99
"7","RT","R1","Buffalo","AF","221 ",63,"03/16/2014",221,0,0,0,0,0,"0","0",3.49
"8","RT","R1","Buffalo","AF","269 ",63,"03/22/2014",269,0,0,0,0,0,"0","0",3.49
"9","RT","R1","Buffalo","AF","301 ",63,"03/24/2014",301,0,0,0,0,0,"0","0",3.49
"10","RT","R1","Buffalo","AF","108 ",65,"05/07/2014",108,0,0,0,0.52,0,"0","0",0.44
"11","RT","R1","Buffalo","AF","201 ",66,"06/13/2014",201,0,0,0,0,0.27,"0","0",
"12","RT","R1","Bushbuck","AF","119 ",64,"04/12/2014",119,0,0,0,0.25,0.13,"0","0",
"13","RT","R1","Bushbuck","AF","150 ",64,"04/14/2014",150,0,0,0,0.25,0.13,"0","0",
"14","RT","R1","Bushbuck","AF","674 ",66,"06/14/2014",674,0,0,0,0,0.27,"0","0",0.48
"15","RT","R1","Donkey","AF","676 ",51,"02/12/2013",676,0,0,0,0.34,0,"1","1",
"16","RT","R1","Donkey","AF","122 ",64,"04/13/2014",122,0,0,0,0.25,0.13,"0","0",
"17","RT","R1","Donkey","AF","137 ",66,"06/13/2014",137,0,0,0,0,0.27,"0","0",1.23
"18","RT","R1","Duiker","AF","876 ",63,"03/21/2014",876,0,0,0,0,0,"0","0",4.31
"19","RT","R1","Duiker","AF","85 ",64,"04/12/2014",85,0,0,0,0.25,0.13,"0","0",
"20","RT","R1","Duiker","AF","278 ",64,"04/14/2014",278,0,0,0,0.25,0.13,"0","0",
"21","RT","R1","Duiker","AF","384 ",66,"06/14/2014",384,0,0,0,0,0.27,"0","0",0.8
"22","RT","R1","Elephant","AM","1184 ",63,"03/13/2014",1184,0,0,0,0,0,,,0.95
"23","RT","R1","Elephant","AM","173 ",63,"03/25/2014",173,0,0,0,0,0,,,0.95
"24","RT","R1","Elephant","AM","202 ",66,"06/14/2014",202,0,0,0,0,0.27,,,0.81
"25","RT","R1","Elephant","AM","172 ",66,"06/16/2014",172,0,0,0,0,0.27,,,0.81
"26","RT","R1","Giraffe","AF","83 ",66,"06/18/2014",83,0,0,0,0,0.27,"2","2",
"27","RT","R1","Hippo","AF","491 ",50,"01/20/2013",491,,,,,,"2","2",1.57
"28","RT","R1","Hippo","AF","338 ",63,"03/19/2014",338,0,0,0,0,0,"0","0",0.97
"29","RT","R1","Hippo","AF","100 ",63,"03/23/2014",100,0,0,0,0,0,"0","0",0.97
"30","RT","R1","Hippo","AF","213 ",65,"05/07/2014",213,0,0,0,0.52,0,"0","0",
"31","RT","R1","Hippo","AF","83 ",66,"06/13/2014",83,0,0,0,0,0.27,"0","0",1.03
"32","RT","R1","Hippo","AF","278 ",67,"07/12/2014",278,0,0,0,0,0,"0","0",
"33","RT","R1","Horse","AF","66 ",63,"03/17/2014",66,0,0,0,0,0,"2","2",4.17
"34","RT","R1","Horse","AF","163 ",65,"05/10/2014",163,0,0,0,0.52,0,"2","2",
"35","RT","R1","Horse","AF","148 ",66,"06/18/2014",148,0,0,0,0,0.27,"2","2",
"36","RT","R1","Hyena","AF","203 ",63,"03/16/2014",203,0,0,0,0,0,"0","0",
"37","RT","R1","Hyena","AF","450 ",63,"03/18/2014",450,0,0,0,0,0,"0","0",
"38","RT","R1","Hyena","AF","274 ",63,"03/21/2014",274,0,0,0,0,0,"0","0",
"39","RT","R1","Hyena","AF","103 ",64,"04/11/2014",103,0,0,0,0.25,0.13,"0","0",
"40","RT","R1","Hyena","AF","252 ",66,"06/13/2014",252,0,0,0,0,0.27,"0","0",1.07
"41","RT","R1","Leopard","AF","918 ",49,"01/07/2013",918,,,,,,"1","1",1.95
"42","RT","R1","Leopard","AF","953 ",50,"01/17/2013",953,,,,,,"1","1",
"43","RT","R1","Leopard","AF","177 ",63,"03/19/2014",177,0,0,0,0,0,"0","0",2.1
"44","RT","R1","Leopard","AF","84 ",64,"04/09/2014",84,0,0,0,0.25,0.13,"0","0",
"45","RT","R1","Leopard","AF","217 ",64,"04/15/2014",217,0,0,0,0.25,0.13,"0","0",
"46","RT","R1","Leopard","AF","501 ",65,"05/09/2014",501,0,0,0,0.52,0,"0","0",0.76
"47","RT","R1","Leopard","AF","204 ",66,"06/16/2014",204,0,0,0,0,0.27,"0","0",0.95
"48","RT","R1","Leopard","AF","87 ",66,"06/18/2014",87,0,0,0,0,0.27,"0","0",0.95
"49","RT","R1","Lion","SM","172 ",65,"05/06/2014",172,0,0,0,0.52,0,,,0.54
"50","RT","R1","Lion","SM","106 ",66,"06/12/2014",106,17,0,0,0,0.27,,,0.6
"51","RT","R1","Lion","SM","531 ",67,"07/11/2014",531,0,0,0,0,0,,,
"52","RT","R1","Rhino","AF","407 ",51,"02/08/2013",407,0,0,0,0.34,0,,,1.18
"53","RT","R1","Rhino","AF","875 ",63,"03/18/2014",875,0,0,0,0,0,"2","2",1.24
"54","RT","R1","Tiger","AF","328 ",51,"02/11/2013",328,0,0,0,0.34,0,,,1.18
"55","RT","R1","Tiger","AF","283 ",63,"03/13/2014",283,0,0,0,0,0,"0","0",1.07
"56","RT","R1","Tiger","AF","1437 ",63,"03/16/2014",1437,0,0,0,0,0,"0","0",1.07
"57","RT","R1","Tiger","AF","397 ",63,"03/21/2014",397,0,0,0,0,0,"0","0",1.07
"58","RT","R1","Tiger","AF","333 ",63,"03/24/2014",333,0,0,0,0,0,"0","0",1.07
"59","RT","R1","Tiger","AF","54 ",65,"05/11/2014",54,0,0,0,0.52,0,"0","0",0.69
"60","RT","R1","Tiger","AF","267 ",66,"06/13/2014",267,0,0,0,0,0.27,"0","0",1.06
"61","RT","R1","Tiger","AF","150 ",67,"07/12/2014",150,0,0,0,0,0,"0","0",
"62","RT","R1","Wolf","SM","119 ",65,"05/11/2014",119,0,0,0,0.52,0,,,0.61
"63","RT","R1","Wolf","SM","127 ",66,"06/12/2014",127,17,0,0,0,0.27,,,
"64","RT","R1","Wolf","SM","221 ",67,"07/12/2014",221,0,0,0,0,0,,,
"65","RT","R1","Zebra","AF","623 ",50,"01/20/2013",623,,,,,,"1","1",20.7
"66","RT","R1","Zebra","AF","681 ",51,"02/08/2013",681,0,0,0,0.34,0,"1","1",
"67","RT","R1","Zebra","AF","781 ",63,"03/18/2014",781,0,0,0,0,0,"0","0",
"68","RT","R1","Zebra","AF","593 ",63,"03/20/2014",593,0,0,0,0,0,"0","0",
"69","RT","R1","Zebra","AF","60 ",65,"05/08/2014",60,0,0,0,0.52,0,"0","0",0.64
"70","RT","R1","Zebra","AF","158 ",65,"05/13/2014",158,0,0,0,0.52,0,"0","0",0.64
"71","RT","R1","Zebra","AF","330 ",66,"06/12/2014",330,17,0,0,0,0.27,"0","0",0.81
"72","RT","R1","Zebra","AF","226 ",66,"06/18/2014",226,0,0,0,0,0.27,"0","0",0.81
"73","RT","R2","Gulu","AF","166 ",45,"10/03/2012",166,64,23,0,0.44,0.3,"1","1",1.27
"74","RT","R2","Gulu","AF","336 ",45,"10/04/2012",336,21,0,8,0.44,0.3,"1","1",1.27
"75","RT","R2","Gulu","AF","217 ",46,"10/27/2012",217,76,24,0,0.16,0.55,"1","1",60.17
"76","RT","R2","Gulu","AF","407 ",46,"10/30/2012",407,76,0,0,0.16,0.55,"1","1",60.17
"77","RT","R2","Gulu","AF","1324 ",47,"11/15/2012",1324,68,0,0,0,0.15,"1","1",40.06
"78","RT","R2","Gulu","AF","307 ",47,"11/24/2012",307,20,12,0,0,0.15,"1","1",40.06
"79","RT","R2","Gulu","AF","386 ",48,"12/10/2012",386,72,0,0,0.17,0.17,"1","1",60.1
"80","RT","R2","Gulu","AF","744 ",48,"12/13/2012",744,52,0,0,0.17,0.17,"1","1",60.1
"81","RT","R2","Gulu","AF","796 ",48,"12/17/2012",796,0,0,0,0.17,0.17,"1","1",60.1
"82","RT","R2","Gulu","AF","651 ",50,"01/24/2013",651,0,0,0,0.54,0.15,"1","1",19.09
"83","RT","R2","Gulu","AF","1365 ",50,"01/29/2013",1365,0,0,0,0.54,0.15,"1","1",19.09
"84","RT","R2","Gulu","AF","659 ",51,"02/10/2013",659,12,0,0,0.73,0.15,"1","1",13.88
"85","RT","R2","Gulu","AF","2847 ",53,"03/21/2013",2847,44,0,0,1.09,0,"2","2",10.02
"86","RT","R2","Gulu","AF","1647 ",53,"03/25/2013",1647,84,0,20,1.09,0,"2","2",10.02
"87","RT","R2","Gulu","AF","306 ",53,"03/28/2013",306,68,16,0,1.09,0,"2","2",10.02
"88","RT","R2","Gulu","AF","475 ",53,"03/30/2013",475,80,24,28,1.09,0,"2","2",10.02
"89","RT","R2","Gulu","AF","884 ",63,"03/16/2014",884,0,0,0,0,0,"0","0",2.18
"90","RT","R2","Gulu","AF","485 ",65,"05/07/2014",485,0,0,0,0.37,0,"0","0",1.33
"91","RT","R2","Gulu","AF","139 ",66,"06/14/2014",139,0,0,0,0.25,0.13,"0","0",0.65
"92","RT","R2","Gulu","AF","231 ",67,"07/13/2014",231,50,0,0,0.16,0.16,"0","0",6.39
"93","RT","R2","Gulu","AF","70 ",67,"07/16/2014",70,87,0,0,0.16,0.16,"0","0",6.39
"94","RT","R2","Gulu","AF","678 ",68,"01/21/2015",678,0,0,0,0.2,0,"1","1",0.93
"95","RT","R2","Gulu","AF","177 ",68,"01/23/2015",177,22,0,0,0.2,0,"1","1",0.93
"96","RT","R2","Hoima","AF","245 ",63,"03/20/2014",245,0,0,0,0,0,"0","0",9.5
"97","RT","R2","Hoima","AF","287 ",65,"05/12/2014",287,88,0,0,0.37,0,"0","0",2.65
"98","RT","R2","Hoima","AF","158 ",67,"07/13/2014",158,50,0,0,0.16,0.16,"0","0",
"99","RT","R2","Jinja","AF","1405 ",45,"10/06/2012",1405,20,0,0,0.44,0.3,"1","1",42.29
"100","RT","R2","Jinja","AF","786 ",45,"10/07/2012",786,28,0,0,0.44,0.3,"1","1",42.29
"101","RT","R2","Jinja","AF","294 ",46,"10/28/2012",294,16,0,0,0.16,0.55,"1","1",14.56
"102","RT","R2","Jinja","AF","919 ",46,"10/30/2012",919,76,0,0,0.16,0.55,"1","1",14.56
"103","RT","R2","Jinja","AF","305 ",46,"11/03/2012",305,24,0,0,0.16,0.55,"1","1",14.56
"104","RT","R2","Jinja","AF","1072 ",47,"11/25/2012",1072,0,0,0,0,0.15,"1","1",60.82
"105","RT","R2","Jinja","AF","479 ",48,"12/06/2012",479,64,8,0,0.17,0.17,"1","1",45.53
"106","RT","R2","Jinja","AF","230 ",48,"12/08/2012",230,56,0,0,0.17,0.17,"1","1",45.53
"107","RT","R2","Jinja","AF","407 ",48,"12/13/2012",407,52,0,0,0.17,0.17,"1","1",45.53
"108","RT","R2","Jinja","AF","1143 ",48,"12/16/2012",1143,0,0,0,0.17,0.17,"1","1",45.53
"109","RT","R2","Jinja","AF","599 ",50,"01/21/2013",599,42,0,0,0.54,0.15,"1","1",27.23
"110","RT","R2","Jinja","AF","1486 ",50,"01/26/2013",1486,0,0,0,0.54,0.15,"1","1",27.23
"111","RT","R2","Jinja","AF","616 ",50,"01/29/2013",616,0,0,0,0.54,0.15,"1","1",27.23
"112","RT","R2","Jinja","AF","570 ",51,"02/08/2013",570,88,0,0,0.73,0.15,,"1",11.05
"113","RT","R2","Jinja","AF","880 ",51,"02/09/2013",880,77,0,0,0.73,0.15,,"1",11.05
"114","RT","R2","Jinja","AF","645 ",51,"02/15/2013",645,12,0,0,0.73,0.15,,"1",11.05
"115","RT","R2","Jinja","AF","2592 ",52,"03/08/2013",2592,28,0,0,1.01,0,"0","0",1.28
"116","RT","R2","Jinja","AF","2426 ",52,"03/11/2013",2426,0,0,0,1.01,0,"0","0",1.28
"117","RT","R2","Jinja","AF","1256 ",53,"03/27/2013",1256,64,0,12,1.09,0,"0","0",16.81
"118","RT","R2","Jinja","AF","201 ",53,"03/28/2013",201,68,16,0,1.09,0,"0","0",16.81
"119","RT","R2","Jinja","AF","455 ",63,"03/14/2014",455,0,0,0,0,0,"2","2",15.88
"120","RT","R2","Jinja","AF","889 ",63,"03/15/2014",889,0,0,0,0,0,"2","2",15.88
"121","RT","R2","Jinja","AF","184 ",63,"03/21/2014",184,28,0,0,0,0,"2","2",15.88
"122","RT","R2","Jinja","AF","134 ",64,"04/13/2014",134,50,0,0,0,0.12,"2","2",0.88
"123","RT","R2","Jinja","AF","196 ",65,"05/06/2014",196,0,0,0,0.37,0,"0","0",0.86
"124","RT","R2","Jinja","AF","114 ",66,"06/17/2014",114,0,0,0,0.25,0.13,"0","0",1.08
"125","RT","R2","Jinja","AF","57 ",66,"06/18/2014",57,0,0,0,0.25,0.13,"0","0",1.08
"126","RT","R2","Jinja","AF","584 ",67,"07/10/2014",584,0,0,0,0.16,0.16,"0","0",1.47
"127","RT","R2","Jinja","AF","274 ",67,"07/16/2014",274,87,0,0,0.16,0.16,"0","0",1.47
"128","RT","R2","Jinja's juv?","AF","699 ",46,"11/03/2012",699,24,0,0,0.16,0.55,,,
"129","RT","R2","KAB or KYE","AF","150 ",46,"11/06/2012",150,5,0,0,0.16,0.55,,,
"130","RT","R2","Kabarole","AF","834 ",45,"10/06/2012",834,20,0,0,0.44,0.3,"0","0",58.81
"131","RT","R2","Kabarole","AF","242 ",45,"10/07/2012",242,28,0,0,0.44,0.3,"0","0",58.81
"132","RT","R2","Kabarole","AF","137 ",46,"10/26/2012",137,16,8,0,0.16,0.55,"0","0",24.44
"133","RT","R2","Kabarole","AF","308 ",46,"11/03/2012",308,24,0,0,0.16,0.55,"0","0",24.44
"134","RT","R2","Kabarole","AF","266 ",47,"11/26/2012",266,0,0,0,0,0.15,"0","0",53.26
"135","RT","R2","Kabarole","AF","322 ",48,"12/14/2012",322,52,0,0,0.17,0.17,"0","0",5.11
"136","RT","R2","Kabarole","AF","1344 ",48,"12/15/2012",1344,8,0,0,0.17,0.17,"0","0",5.11
"137","RT","R2","Kabarole","AF","1150 ",50,"01/22/2013",1150,8,0,0,0.54,0.15,"0","0",10.63
"138","RT","R2","Kabarole","AF","742 ",51,"02/11/2013",742,54,0,4,0.73,0.15,"0","0",8.47
"139","RT","R2","Kabarole","AF","967 ",51,"02/18/2013",967,23,0,0,0.73,0.15,"0","0",8.47
"140","RT","R2","Kabarole","AF","1376 ",52,"03/10/2013",1376,54,0,0,1.01,0,"0","0",1.47
"141","RT","R2","Kabarole","AF","754 ",52,"03/11/2013",754,0,0,0,1.01,0,"0","0",1.47
"142","RT","R2","Kabarole","AF","1111 ",53,"03/24/2013",1111,63,0,5,1.09,0,"0","0",8.11
"143","RT","R2","Kabarole","AF","4650 ",53,"03/25/2013",4650,84,0,20,1.09,0,"0","0",8.11
"144","RT","R2","Kabarole","AF","217 ",53,"03/31/2013",217,64,0,4,1.09,0,"0","0",8.11
"145","RT","R2","Kabarole","AF","553 ",53,"04/02/2013",553,86,5,0,1.09,0,"0","0",8.11
"146","RT","R2","Kabarole","AF","746 ",63,"03/14/2014",746,0,0,0,0,0,"2","2",3.1
"147","RT","R2","Kabarole","AF","685 ",63,"03/22/2014",685,0,0,0,0,0,"2","2",3.1
"148","RT","R2","Kabarole","AF","387 ",63,"03/24/2014",387,0,0,0,0,0,"2","2",3.1
"149","RT","R2","Kabarole","AF","112 ",65,"05/12/2014",112,88,0,0,0.37,0,"2","2",0.73
"150","RT","R2","Kabarole","AF","78 ",66,"06/12/2014",78,0,0,0,0.25,0.13,"2","2",0.99
"151","RT","R2","Kabarole","AF","812 ",67,"07/10/2014",812,0,0,0,0.16,0.16,"0","0",0.8
"152","RT","R2","Kabarole","AF","206 ",67,"07/12/2014",206,0,0,0,0.16,0.16,"0","0",0.8
"153","RT","R2","Kabarole","AF","235 ",68,"01/23/2015",235,22,0,0,0.2,0,"0","0",11.2
"154","RT","R2","Kampala","AM","238 ",42,"08/08/2012",238,,,,,,,,
"155","RT","R2","Kamwenge","AF","160 ",63,"03/21/2014",160,28,0,0,0,0,"2","2",1.69
"156","RT","R2","Kamwenge","AF","363 ",64,"04/09/2014",363,0,0,0,0,0.12,"2","2",
"157","RT","R2","Kamwenge","AF","339 ",65,"05/10/2014",339,60,0,0,0.37,0,"2","2",0.44
"158","RT","R2","Kamwenge","AF","138 ",66,"06/12/2014",138,0,0,0,0.25,0.13,"2","2",0.68
"159","RT","R2","Kamwenge","AF","365 ",67,"07/17/2014",365,0,0,0,0.16,0.16,"2","2",0.68
"160","RT","R2","Kasese","AM","738 ",46,"10/28/2012",738,16,0,0,0.16,0.55,,,
"161","RT","R2","Kasese","AM","511 ",46,"11/06/2012",511,5,0,0,0.16,0.55,,,
"162","RT","R2","Kasese","AM","198 ",50,"01/22/2013",198,8,0,0,0.54,0.15,,,0.93
"163","RT","R2","Kasese","AM","248 ",50,"01/23/2013",248,46,0,0,0.54,0.15,,,0.93
"164","RT","R2","Kasese","AM","124 ",50,"01/26/2013",124,0,0,0,0.54,0.15,,,0.93
"165","RT","R2","Kasese","AM","551 ",51,"02/08/2013",551,88,0,0,0.73,0.15,,,3.64
"166","RT","R2","Kasese","AM","283 ",51,"02/10/2013",283,12,0,0,0.73,0.15,,,3.64
"167","RT","R2","Kasese","AM","404 ",51,"02/17/2013",404,58,0,8,0.73,0.15,,,3.64
"168","RT","R2","Kasese","AM","827 ",53,"03/24/2013",827,63,0,5,1.09,0,,,7.94
"169","RT","R2","Kasese","AM","274 ",53,"03/25/2013",274,84,0,20,1.09,0,,,7.94
"170","RT","R2","Kasese","AM","900 ",53,"03/29/2013",900,72,8,0,1.09,0,,,7.94
"171","RT","R2","Kasese","AM","708 ",63,"03/16/2014",708,0,0,0,0,0,,,12.73
"172","RT","R2","Kasese","AM","1080 ",63,"03/19/2014",1080,0,0,0,0,0,,,12.73
"173","RT","R2","Kasese","AM","751 ",63,"03/22/2014",751,0,0,0,0,0,,,12.73
"174","RT","R2","Kasese","AM","98 ",64,"04/15/2014",98,35,0,0,0,0.12,,,1.13
"175","RT","R2","Kasese","AM","452 ",67,"07/14/2014",452,87,0,0,0.16,0.16,,,0.84
"176","RT","R2","Kyenjojo","AF","345 ",44,"09/24/2012",345,50,46,0,0.37,0.84,"0","0",83.71
"177","RT","R2","Kyenjojo","AF","111 ",45,"10/04/2012",111,21,0,8,0.44,0.3,"0","0",1.78
"178","RT","R2","Kyenjojo","AF","235 ",45,"10/05/2012",235,77,0,4,0.44,0.3,"0","0",1.78
"179","RT","R2","Kyenjojo","AF","129 ",45,"10/08/2012",129,60,28,0,0.44,0.3,"0","0",1.78
"180","RT","R2","Kyenjojo","AF","680 ",45,"10/09/2012",680,41,0,0,0.44,0.3,"0","0",1.78
"181","RT","R2","Kyenjojo","AF","339 ",46,"10/29/2012",339,36,4,0,0.16,0.55,"0","0",34.8
"182","RT","R2","Kyenjojo","AF","364 ",46,"11/03/2012",364,24,0,0,0.16,0.55,"0","0",34.8
"183","RT","R2","Kyenjojo","AF","98 ",47,"11/14/2012",98,62,0,0,0,0.15,"0","0",7.83
"184","RT","R2","Kyenjojo","AF","183 ",47,"11/24/2012",183,20,12,0,0,0.15,"0","0",7.83
"185","RT","R2","Kyenjojo","AF","741 ",48,"12/05/2012",741,0,0,0,0.17,0.17,"0","0",52.79
"186","RT","R2","Kyenjojo","AF","342 ",48,"12/09/2012",342,17,0,0,0.17,0.17,"0","0",52.79
"187","RT","R2","Kyenjojo","AF","627 ",48,"12/12/2012",627,60,0,0,0.17,0.17,"0","0",52.79
"188","RT","R2","Kyenjojo","AF","352 ",48,"12/15/2012",352,8,0,0,0.17,0.17,"0","0",52.79
"189","RT","R2","Kyenjojo","AF","838 ",50,"01/19/2013",838,46,0,0,0.54,0.15,"0","0",18.91
"190","RT","R2","Kyenjojo","AF","2017 ",50,"01/25/2013",2017,62,0,0,0.54,0.15,"0","0",18.91
"191","RT","R2","Kyenjojo","AF","2043 ",51,"02/11/2013",2043,54,0,4,0.73,0.15,"0","0",5.17
"192","RT","R2","Kyenjojo","AF","720 ",51,"02/13/2013",720,27,0,0,0.73,0.15,"0","0",5.17
"193","RT","R2","Kyenjojo","AF","547 ",51,"02/18/2013",547,23,0,0,0.73,0.15,"0","0",5.17
"194","RT","R2","Kyenjojo","AF","1109 ",52,"03/07/2013",1109,44,0,0,1.01,0,"0","0",0.86
"195","RT","R2","Kyenjojo","AF","4147 ",52,"03/10/2013",4147,54,0,0,1.01,0,"0","0",0.86
"196","RT","R2","Kyenjojo","AF","1952 ",53,"03/22/2013",1952,85,8,19,1.09,0,"0","0",13.73
"197","RT","R2","Kyenjojo","AF","118 ",53,"03/27/2013",118,64,0,12,1.09,0,"0","0",13.73
"198","RT","R2","Kyenjojo","AF","1153 ",63,"03/16/2014",1153,0,0,0,0,0,"2","2",5.11
"199","RT","R2","Kyenjojo","AF","320 ",63,"03/22/2014",320,0,0,0,0,0,"2","2",5.11
"200","RT","R2","Kyenjojo","AF","404 ",63,"03/24/2014",404,0,0,0,0,0,"2","2",5.11
"201","RT","R2","Kyenjojo","AF","67 ",64,"04/12/2014",67,24,0,0,0,0.12,"2","2",1.06
"202","RT","R2","Kyenjojo","AF","158 ",65,"05/08/2014",158,0,0,0,0.37,0,"2","2",0.75
"203","RT","R2","Kyenjojo","AF","295 ",66,"06/13/2014",295,58,0,0,0.25,0.13,"2","2",
"204","RT","R2","Kyenjojo","AF","69 ",66,"06/18/2014",69,0,0,0,0.25,0.13,"2","2",
"205","RT","R2","Kyenjojo","AF","195 ",67,"07/12/2014",195,0,0,0,0.16,0.16,"0","0",1.04
"206","RT","R2","Kyenjojo","AF","292 ",67,"07/16/2014",292,87,0,0,0.16,0.16,"0","0",1.04
"207","RT","R2","Kyenjojo","AF","275 ",68,"01/22/2015",275,54,0,0,0.2,0,"0","0",19.86
"208","RT","R2","Kyenjojo","AF","124 ",68,"01/26/2015",124,0,0,0,0.2,0,"0","0",19.86
"209","RT","R2","Mityana","AF","1086 ",43,"08/27/2012",1086,0,0,0,0.73,0,,,5.34
"210","RT","R2","Mpigi","AF","511 ",45,"10/06/2012",511,20,0,0,0.44,0.3,"0","0",17.68
"211","RT","R2","Mpigi","AF","473 ",46,"10/30/2012",473,76,0,0,0.16,0.55,"0","0",63.77
"212","RT","R2","Mpigi","AF","205 ",47,"11/26/2012",205,0,0,0,0,0.15,"0","0",44.36
"213","RT","R2","Mpigi","AF","1093 ",48,"12/12/2012",1093,60,0,0,0.17,0.17,"0","0",67.14
"214","RT","R2","Mpigi","AF","528 ",48,"12/13/2012",528,52,0,0,0.17,0.17,"0","0",67.14
"215","RT","R2","Mpigi","AF","465 ",50,"01/21/2013",465,42,0,0,0.54,0.15,"0","0",13.36
"216","RT","R2","Mpigi","AF","555 ",50,"01/24/2013",555,0,0,0,0.54,0.15,"0","0",13.36
"217","RT","R2","Mpigi","AF","1236 ",51,"02/15/2013",1236,12,0,0,0.73,0.15,"0","0",5.92
"218","RT","R2","Mpigi","AF","1872 ",52,"03/08/2013",1872,28,0,0,1.01,0,"0","0",
"219","RT","R2","Mpigi","AF","1620 ",52,"03/11/2013",1620,0,0,0,1.01,0,"0","0",
"220","RT","R2","Mpigi","AF","788 ",52,"03/12/2013",788,41,0,0,1.01,0,"0","0",
"221","RT","R2","Mpigi","AF","1844 ",53,"03/21/2013",1844,44,0,0,1.09,0,"0","0",6.74
"222","RT","R2","Mpigi","AF","2285 ",53,"03/22/2013",2285,85,8,19,1.09,0,"0","0",6.74
"223","RT","R2","Mpigi","AF","1667 ",53,"04/01/2013",1667,75,0,0,1.09,0,"0","0",6.74
"224","RT","R2","Mpigi","AF","551 ",63,"03/15/2014",551,0,0,0,0,0,"0","0",12.73
"225","RT","R2","Mpigi","AF","490 ",63,"03/17/2014",490,16,0,8,0,0,"0","0",12.73
"226","RT","R2","Mpigi","AF","612 ",63,"03/21/2014",612,28,0,0,0,0,"0","0",12.73
"227","RT","R2","Mpigi","AF","107 ",63,"03/23/2014",107,0,0,0,0,0,"0","0",12.73
"228","RT","R2","Mpigi","AF","52 ",64,"04/12/2014",52,24,0,0,0,0.12,"0","0",1.89
"229","RT","R2","Mpigi","AF","225 ",65,"05/06/2014",225,0,0,0,0.37,0,"0","0",0.81
"230","RT","R2","Mpigi","AF","490 ",66,"06/13/2014",490,58,0,0,0.25,0.13,"0","0",
"231","RT","R2","Mpigi","AF","134 ",66,"06/17/2014",134,0,0,0,0.25,0.13,"0","0",
